kings	Karalis.
šeibe	Skrūves paplāksne.
bende	Šķērskoks, kas savieno un satur celtnes divas pretējās spāres.
grova	Grava.
svile	Rudmatis, sarkangalvis.
muids	Sena šķidrumu un beramvielu mērvienība Francijā, tās lielums bija stipri mainīgs atkarībā no rajona un mērījamā produkta; visbiežāk lietojamais muids bija aptuveni vienāds ar 270 l.
idžma	Musulmaņu kopienas kopīgs viedoklis; tas ir ļoti nozīmīgs islāmiskās likumdošanas princips.
alias	Citādi; citā laikā; citā vietā.
blace	Kļūda audumā; blaka.
lāģis	Jēdzīgs, sakarīgs, atsaucīgs, izpalīdzīgs.
plass	Ūdens klajums (parasti blakus ūdenstilpei).
magma	Izkususi, ugunīgi šķidra, parasti silikātu, masa, kas rodas Zemes mantijā vai garozā un, lavas veidā nonākot Zemes virspusē, veido izvirduma iežus.
harfa	Arfa.
čigne	Gabals, pika.
ģeida	Palaidnīga, draiskulīga meitene; izlaidīga, kāra meiča.
peška	Bandinieks (šahā).
īnals	Īlens.
tinis	Šaurs, garens zvejas tīkls, kurā zivis sabāž galvas un žaunas aizķeras.
sikhs	Sikhu reliģijas sekotājs.
felis	Kaķu dzimtas ģints.
jirce	Vīrišķā sēkla.
čisla	Datums.
sekss	Dzimums.
trals	Tralis.
ķērte	Kakts, stūris.
rēdns	Lietains, nelāgs.
apars	Sekls dīķis.
ūzacs	Uzacs.
cērve	Vērpjamā ratiņa daļa (ērkulis, sprēslīca), parasti izgriezta un izrakstīta dēlīša veidā, kur piesprauž vērpjamo linu, pakulu vai vilnas kodaļu; cēre; cēris.
comes	Pavadonis.
ežeņs	Jetija jeb sniega cilvēka nosaukums ķīniešu mitoloģijā, arī maožeņs un žeņsjuns.
vieta	Apvidus, platības u. tml. daļa zemes virsmai, teritorijai, kurā kas pastāv, atrodas, notiek, arī ir pastāvējis, atradīsies, varētu notikt u. tml.
pinca	Lieldienu maize no rauga mīklas ar dziļi iespiestu krustu vidū.
čauče	Čauča.
kvača	Malāvijas kvača - naudas vienība Malāvijas Republikā, sīknauda - tambala.
pills	Tāds (priekšmets, parasti trauks), kas (līdz malām) ir piepildīts (ar ko); pretstats: tukšs.
flaga	Kuģa karogs.
linka	Lēciens, palēciens.
nauda	Īpaša prece, ko izmanto par visu citu preču vērtības vispārējo ekvivalentu; šādas preces priekšmetiskās izpausmes forma (piemēram, banknote, monēta).
kūpis	Putns, ceru vistiņa; ūdensvistiņa.
stafs	Lieta.
škora	Gara auguma sieviete.
glīts	Tāds, kas atbilst kādām estētiskām prasībām (par cilvēku, dzīvnieku, arī tā ķermeņa daļām).
lievs	Koka stumbra iekšējā jeb vidējā daļa, kodols, nedzīva un cietāka kā to aptverošā aplieva; lieva.
vārgs	Tāds, kam (slimības, vecuma, attīstības traucējumu dēļ) trūkst fiziska spēka (par cilvēkiem, to ķermeni, ķermeņa daļām); arī nevarīgs (1), nespēcīgs (1).
šrube	Beržamā birste.
spēša	Drava.
daģis	Dadzis.
perge	Turpini! Tālāk!
ploša	Tāds, kas aplam plosās, kliedz.
faķis	Fakultāte.
rīgas	Sods, naudas sods.
jūris	Jūra.
trase	Līnija, kas, parasti projektā, iezīmē (ceļa, kanāla, komunikāciju u. tml.) novietojumu apvidū, vidē; apvidus, vides josla, kur tiks veidots vai atrodas (ceļš, kanāls, komunikācijas u. tml.).
avena	Auzas.
šķebs	Šķebīgs.
pesis	Šķiltavu deglim derīga sausa bērza piepe ("Polyporus igniarius"); pese 1.
peļķe	Ar ūdeni, retāk ar dubļiem pildīts sekls padziļinājums, piemēram, zemes, ceļa virsā; ūdens, retāk dubļi šādā padziļinājumā.
čukča	Krievijas Tālo Austrumu vai Ziemeļu tautu piederīgais.
vēsma	Lēna gaisa plūsma; arī lēns vējš.
boila	Speciāli sagatavota zivju ēsmas lodīte; boilija.
dulba	Muļķis, lempis.
šnite	Piegrieztne.
dulss	Nesaprātīgs, muļķīgs.
lēkna	Mitra, auglīga zeme; pļava.
apols	Apaļš.
rēdņa	Laiks, kad dzīvnieki met spalvu.
spiķe	Sveķi.
gārsa	Jauns, biezs mežs.
koats	Degunlācītis ("Nasua").
konna	Izkapts pēda.
sūnas	Augu nodalījums ("Bryophyta"), sporaugi bez saknēm (kas parasti aug mitrās vietās); sūna.
šaurs	Tāds, kam šķērsvirzienā ir samērā mazs attālums no vienas malas līdz otrai: tāds, kam ir samērā mazs diametrs (par apaļas, ieapaļas formas priekšmetiem, veidojumiem); pretstats: plats.
kāris	Šūna, kāre.
liegs	Tāds, kas ir tikko sajūtams (par gaisa plūsmu).
danse	Deja.
mells	Melns.
mocis	Motocikls.
amats	Kvalificēts darbs, arī nodarbošanās - dažādu izstrādājumu ražošana ar rokām, izmantojot vienkāršus darba rīkus.
brūkš	Lieto, lai atdarinātu kritiena troksni.
vacis	Koks, uz kura kulstot uzliek linus.
pieķe	Govs vārds.
ļepis	Nauda.
sobrs	Sumbrs.
tauva	Resna, vīta virve, trose.
suite	Svīta.
žvira	Dzeltena, grantaina, neauglīga smilts, kas lietus laikā paliek šķīsta.
atols	Atāls.
olīve	Olīva (3).
proms	Provis - stiprs brandvīns; brandvīns.
boule	Bumbas spēle 15x4 m celiņā, radusies Vidusjūras valstīs, pasaules meistarsacīkstes notiek kopš 1959. g.
rušķe	Netīrīgs cilvēks.
mazga	Mezgls.
gumža	Kāds, kas ātri rij.
canna	Kannas.
ķiksa	Matu mezgls (pakausī).
blogs	Emuārs.
riska	Rūpes, raizes; darīšanas, kas prasa daudz pūļu, laika, enerģijas.
stops	Sena tilpuma mērvienība - aptuveni 1,3 l; citur arī 1/8 spaiņa jeb 1,537 l.
volis	Volejbols.
avots	Pazemes ūdeņu izplūdes vieta.
švite	Svīta 2.
iešus	Ejot.
īkste	Niere; īksts.
kleja	Klenderis, kleists.
vamze	Vamzis.
arads	Apcirknis.
vākas	Vāķēšana, goda sardze naktī pie mirušā.
žinds	Riteņa stīpa.
ģifts	Inde.
vaija	Atkārtojumā izsaka pārsteigumu, izbrīnu.
vīkšs	Vīkšķis.
ķerne	Sviesta kuļamā ierīce.
gumza	Tas, kas ir sagumzīts, sagumzījies.
zārgs	Zārks.
moins	Sveiks!
ķumpa	Kūkums (mugurā); izvirzījums uz āru, izliekums (ķermeņa daļā).
pepls	Senajā Grieķijā un Senajā Romā - krokots sieviešu virstērps no vieglas drānas, bez piedurknēm, to valkāja virs tunikas.
kašņa	Kaut kas izrakņāts, izkasīts.
bokas	Pēc kulšanas un salmu noņemšanas pāri palikušas vārpas, sēnalas, graudu apvalki un akoti miežiem.
retis	Rets.
baiks	Motocikls; kalnu velosipēds.
groks	Alkoholisks dzēriens, ko gatavo, piejaucot saldai, karstai tējai rumu, konjaku vai spirtu.
drāka	Kautiņš, tracis.
irdns	Irdens.
seims	Kārtu pārstāvības institūcija (Polijas-Lietuvas valstī).
obans	Japānas 16.-19. gs. lielākā zelta monēta, 10 rio vērtībā, plakana, ovāla, ar sudraba piemaisījumu.
vēste	Vēsts.
cūcis	Jauna, nenobarota cūka.
šalle	Garens tekstilizstrādājums kakla, plecu, galvas segšanai.
grēge	Neizstrādāts, nešķetināts jēlzīds.
vikse	Apavu krēms.
berma	Horizontāls laukums, josla dambja, uzbēruma, krasta nogāzes malā, ko ierīko, lai slīpums būtu noturīgs un lai to neizskalotu.
tiesa	Daļa (no kāda kopuma, daudzuma), kas (parasti) ir paredzēta noteiktam nolūkam, ko piešķir, dod kādam.
dudka	Telefons.
jutra	Rīkste.
kaula	Kula.
gouda	Cietā siera šķirne (pēc vietvārda Nīderlandē).
dvēss	Vēss.
krakš	Lieto, lai atdarinātu īslaicīgu, asu, samērā spēcīgu troksni, kas rodas, piemēram, ja kas ciets strauji saskaras ar ko vai tiek spiests, liekts, lauzts.
gēste	Smilšainas zemienes Ziemeļjūras piekrastes tuvumā Vācijā un Nīderlandē.
jauna	Līgava.
čozas	Gruži, atkritumi, drazas; arī mizas, (graudu, sēklu) apvalki u. tml.
epods	Antīkajā vārsmošanas sistēmā - lirisks dzejolis, kurā garais pants mijas ar īso.
murgs	Cilvēks, kas ne runā ne darbā netiek ne no vietas; tūļīgs, kūtrs cilvēks.
penge	Naudas vienība Ungārijā 1925.-1946. g., sudraba monēta vienāda ar 100 filleriem.
rauka	Tapa.
biģis	Velns.
taļķe	Smalki savērptas dzijas šķetere.
kļošs	Zvanveida griezums apģērbam; bikšu galu paplatinājums; svārku apakšdaļas paplatinājums.
rauns	Ļauns, nenovēlīgs.
pinčs	Pederasts (apvainojums).
slēpe	Slēpes.
rīsis	Rīss.
vilte	Bars (suņu).
čauna	Cauna.
siļķe	Kaulzivju klases siļķveidīgo kārtas dzimta ("Clupeidae"), izplatīta gk. Atlantijas un Klusajā okeānā, 65 ģ., ~230 sugu, Baltijas jūrā konstatētas 3 ģ., 3 sugas - reņģe, brētliņa, palede.
odērs	Smarža, smaržains šķidrums.
ploga	Peldoša zāle ezerā.
ģībla	Ģībonis.
tērps	Apģērbs, apģērba gabalu komplekts valkāšanai īpašos, noteiktos (sadzīves, darba u. tml.) apstākļos.
tikls	Tikumīgs.
uraza	Musulmaņu 30 dienu gavēnis ramadāna mēnesī.
ļaras	Tenkas.
orhis	(Dzīvnieka) sēklinieks, pauts.
koris	Augšējā daļa, visaugstākā vieta (parasti kalnam); kore (2).
filia	Grieķu vārds sadraudzības, labvēlības, viesmīlības apzīmēšanai.
ķērse	Pļavas ķērsa ("Cardamine pratensis").
mežģa	Kāda, kas tinot samudžina, sacilpo dziju.
špura	Izkapts rokturis.
zukrs	Drukns.
apene	Apkopēja.
palas	Pali.
abeiš	Abi.
ķiris	Melns bullēns ar baltu svītru pār muguru.
suits	Piepešs, pēkšņs.
glīve	Ūdens ziedi, zaļās gļotas virs ūdens (aļģes); gļotas; dūņas; krāsas.
lēkts	Pakāpeniska (parasti saules) parādīšanās virs horizonta; gaisma, kas rodas, parādoties (parasti saulei) virs horizonta.
skaks	Šoks, 60 gabalu.
ūdris	Ūdrs.
prāts	Psihisko norišu un personības īpašību kopums, kas rada iespēju veidot subjektīvu, ar priekšstatiem un jēdzieniem pastarpinātu īstenības atspoguļojumu, izzināt priekšmetu un parādību vispārīgās un būtiskās īpašības un darboties jaunā situācijā, izmantojot šādi iegūto informāciju; arī intelekts.
ulāns	Vieglās kavalērijas karavīrs.
čalba	Liela, plata kāja ar lieliem (un izmirkušiem) apaviem.
viepe	Snātne - nātns lakats, villaine, seģene.
ķēdes	Važas.
lazds	Lazda ("Corylus").
didas	Drebuļi, trīsas.
drēms	Kluss, mierīgs.
loris	Slaido loru ģints.
urāns	Ķīmiskais elements - ciets, smags, sudrabbalts radioaktīvs metāls, periodiskās sistēmas 92. elements, U, atommasa - 238,029, zināmi 14 radioaktīvie izotopi.
trika	Līksmība, jautrs troksnis.
knāpe	Koku puduris.
grupa	Vairāki, piemēram, cilvēki, dzīvnieki, priekšmeti, kas atrodas tuvu cits pie cita.
smīns	Smaidam līdzīgs sejas daļu (lūpu, vaigu) kustību kopums, raksturīga izteiksme, ko izraisa nicinoša, noraidoša attieksme pret ko.
porte	Potējamais zariņš.
zosta	Mērce.
bādas	Mazgāšanās (vannā, pirtī); peldēšanās.
blots	Zivju bars.
vēmas	Vēmiens.
ņerba	Skranda, lupata.
klens	Klans - radinieku ģints vai grupa (plašā nozīmē).
čaugs	Čaugans.
gauja	Vieglas uzvedības meitene.
barkš	Skaņas atdarinājums, piemēram, ratu rīboņa.
torns	Torna.
troks	Traks.
icike	Ebrejs.
brūce	Ievainota audu vieta (cilvēkam vai dzīvniekiem).
krūte	Krūts.
zomps	Slapjš sniegs (jūrā, ezerā vai upē).
tuņņa	Skārda kastīte vai lāde.
cinis	Neliels izcilnis (parasti zemā, purvainā vietā).
echis	Efas.
vāsts	Futrālis.
jukna	Kāds, kurš ir neatbilstošā un augumam nepiemērotā tērpā.
arara	Garais papagailis bez cekula, ar spilgtu spalvu krāsu; izplatīts apgabalos starp Meksiku un Dienvidbrazīliju.
autrs	Svaigs un dzidrs (par gaisu).
torgs	Tirdzniecības pārvalde (Padomju Savienībā).
apogs	Pūčveidīgo kārtas pūču dzimtas putns.
aliņa	Dem. --> ala.
kruks	Stienis viras uzkarināšanai.
žvips	Lieto ļoti ātras kustības raksturošanai.
juxta	Loto zīmēm, loterijas biļetēm u. c. maziem vērtspapīriem atdalāma maza strēmele, kas atšķiras ar zīmējumu un noder biļetes pareizības pārbaudīšanai.
smuts	Velns, pūķis; nelabais.
šnāka	Kociņš, kurā vērpjot iever dziju.
svece	Apgaismošanai paredzēts cilindrisks stearīna, parafīna, vaska, kausētu tauku veidojums ar dakti vidū.
kroms	Hroms.
cikls	Noteikts (procesu, norišu, darbību) kopums.
idoze	Sintētiska heksoze, glukozes izomērs.
plakš	Lieto, lai atdarinātu īslaicīgu, dobju, samērā spēcīgu troksni, kas rodas, piemēram, kam plakanam, arī šķidram atsitoties, sitoties pret ko.
jauns	Tāds, kam ir samērā neliels vecums (par cilvēku); pretstats: vecs.
stugs	Īss, strups.
bulis	Nazis ar nodilušu galu.
aedes	Mežaodi.
jungs	Junga (2).
makls	Viltnieks, krāpnieks.
džins	Gars, dēmons (arābu un persiešu folklorā).
kaire	Kairums.
danda	Čigāna pātaga.
huaka	Jebkura no daudzajām inku dievībām; arī inku svētvieta, svētnīca vai templis.
mamma	Māte.
kobza	Bandūrai līdzīgs sens ukraiņu tautas strinkšķināmais stīgu instruments.
blaza	Kaut kas kopā sagrūsts, sabīdīts.
kreve	Atmirušo audu slānis, kas veidojas kokaugu stumbra virspusē no peridermas un mizas šūnām.
eglis	Egļu zaru ecēšas; arī dzelzs tapu ecēšas.
sagša	Četrstūraina plecu sega (parasti sieviešu tautas tērpa sastāvdaļa); villaine.
ūkiņš	Ūka, rīkles gals.
čuļča	Tabakas atkritumi, kas sakrājušies pīpes apakšā un caurulē.
gofra	Kroka.
purne	Purva purene ("Caltha palustris").
čanka	Neliels (skārda) trauks (piemēram, neliela kārba, krūze u. tml.) smelšanai, liešanai.
torne	Torna.
lunks	Lunkans, lokans.
tunga	Ledus sastrēgums.
ēmars	Āmurs.
klāds	Grēda.
gross	Skaita mērvienība - 12 duču jeb 144 gabali.
valle	Siena, aizsargmūris.
orene	Orientēšanās.
plēša	Plēsējs.
sisla	Administratīvi teritoriālā iedalījuma vienība Islandē; viens no šīs valsts 26 reģioniem.
glems	Glums.
šubre	Žubīte.
kance	Pātaga.
višts	Kāds, kas visur bāž savu degunu.
glazs	Dokuments.
plīta	Plīts.
palls	Eiharistiskā dievkalpojuma piederums Romas katoļu baznīcas misē - četrstūrveida, ar baltu drānu apšūts apsegs bīķerim un patēnai.
baļge	Plats, parasti apaļš, koka trauks; baļļa.
kails	Tāds, kam nav ietērpa, apsega.
žmogs	Spoks; ērms, ķēms.
house	Nams, māja.
papis	Laucis (2), dumbrvistiņu suga ("Fulica arta").
krēpa	Neliels, garens veidojums, piemēram, kupena, siena vāls u. tml.
drēza	Nopietns bāriens, rājiens.
fēces	Cilvēka izkārnījumi; fekālijas.
kļača	Automašīna.
dimda	Dimdoņa.
asars	Asaris.
cirka	Aita ar cirtainu vilnu.
joule	Džouls.
ujāks	Vilks.
gadus	Mencu dzimtas ģints.
tērka	Zvejniecībā neliela boja, ko sēja pie t. s. laižamā tīkla.
salis	Speķa gabals.
klipa	Neliels līcis (jūrā).
guaša	Necaurspīdīga, blīva krāsa, ko iegūst, krāsu pigmentus šķīdinot ūdenī, kuram piejaukta augu līme un baltā krāsa.
dvara	Vārti.
narra	Nerrastība.
prece	Precēšanās; arī laulības.
špāse	Joks.
osājs	Ošu audze; ošiem apaugusi vieta.
maile	Kārtiņa pie murda.
gņēga	Tāds, kas ar gariem zobiem ēd.
knubs	Tāds, kas izveidots šaurā leņķī.
vecie	Vecāki.
ģīdrs	Skaidrs, dzidrs.
jocis	Dīvains, nedaudz smieklīgs cilvēks vai dzīvnieks.
dūska	Kāds, kas vienmēr dūc.
žļaga	Izdedži.
pūpis	Pūpe - kuģa galvenā klāja pakaļējā daļa.
ļurms	Tracis.
lints	Salmu sega, ar ko ziemu aizsedz logus pret aukstumu.
vērta	Vērte.
sukrs	Grods, cieši savērpts.
ūmaka	Kāds, kas uzspiež savu viedokli.
morgs	Laukuma mērvienība - aptuveni 5600 kvadrātmetru (Polijā).
ķēpis	Āķis virves vīšanai.
ciena	Cieņa.
sauce	Mērce.
zilga	Zilgme.
trēna	Antīkajā dzejā raudu dziesma, kurā ietilpa aizgājēja nopelnu cildinājums un sērošana par palicējiem.
mazda	Viens no galvenās dievības nosaukumiem irāņu mitoloģijā, kas varētu būt gan viens no dievības epitetiem, gan personificēts abstrakts jēdziens.
omons	OMON vienība vai vienības.
tinea	Kožu dzimtas ģints.
korza	Cieta garoza.
josla	Samērā šaura, parasti garena (virsmas, priekšmeta) daļa, kas (piemēram, ar krāsu, formu) atšķiras no pārējām daļām.
nūnas	Šūpulis (bērnu valodā).
kogia	Pundurkašaloti.
zeika	Slaida, gara auguma meitene.
kupls	Tāds, (koks, krūms), kam ir biezi saauguši zari, bieza lapotne, tāds (lakstaugs), kam ir biezs cers, daudz lapu, ziedu, rogu.
lecis	Varde ("Rana"), purva varde ("Rana arvalis").
veģma	Nesimpātiska sieviete; neglīta sieviete.
sieks	Tilpuma mērvienība - aptuveni 0,26 kubikmetri (vecajā krievu mērvienību sistēmā).
žanrs	Mākslas darba formas kategorija ar vēsturiski izveidotām, noteiktām raksturīgām pazīmēm.
grene	Govs mēslu plācenis, pļecka.
reids	Karaspēka apakšvienību vai daļu nokļūšana, pārvietošanās un karadarbība pretinieka aizmugurē (piemēram, nozīmīgu objektu iznīcināšanai, partizānu kustības organizēšanai).
dāris	Rijas lodziņš.
madla	Lūgums, lūgšana.
kvita	Kvīts.
putra	Šķidrs vai pusšķidrs ēdiens no putraimiem vai miltiem, kas vārīti ūdenī vai pienā, vai arī ūdenī ar piena piedevu.
bliks	Atsevišķi akcentēts gaišas krāsas plankums, izplatīts paņēmiens Bizantijas glezniecībā glezniecisko formu modelējumam, spīds.
ebuks	Apmēram 2 pēdas garš un pāris collas resns, apaļš koka gabals sišanai vai mešanai.
seila	Virca, sutra.
aures	Auri.
ālība	Skaļa, trokšņaina rīcība; trakulība, draiskulība.
blues	Amerikas nēģeru liriska dziesma sinkopētā ritmā, lēnā tempā, 4/4 vai 2/4 taktsmērā; blūzs.
riepa	Transportlīdzekļa riteņa apvalks, kas saskaras ar ceļa virsmu un kas parasti ir veidots no gumijas (ar kameru vai bez tās), metāla.
duras	Dūrējs sānos.
bauls	Soma.
ersla	Siļķes zvīņas un iekšas.
depsa	Krupis.
dukna	Kāda ūdensputnu suga.
tirss	Dionīsa un viņa pavadoņu zizlis - ar efejas un vīnogulāju lapām apvīta nūja, kuras galā uzsprausts pīnijas čiekurs.
hohma	Joks.
lēzes	Slēpes.
kaupe	Vēdzele.
zamša	Zamšāda.
karsa	Karstums.
dimpa	Cietums, cietumsods.
širks	Islāmā lielākais grēks, sevis pielīdzināšana Dievam.
lycia	Vērpējsprīžotāji.
ķemza	Daudzrija.
zonda	Zonde.
mesas	Nelielas galdaugstienes, kas veidojušās, erozijai saposmojot plašus lavas plato.
ļopka	Galva; arī cepure; ļepka.
kauks	Folklorā mirušo gars.
štāds	Norāda uz dzīvas būtnes, priekšmeta, parādības noteiktu, arī iepriekš minētu īpašību.
komma	Ļoti mazs, ar dzirdi tikko uztverams intervāls mūzikas akustikā; skaitlis 80/81, ja divu toņu frekvences atšķiras ne vairāk kā 80/81 reizes, tad tādus toņus var pieņemt par vienādiem.
hutba	Musulmaņu dievkalpojumā - sprediķis piektdienās un svētku dienās.
šusla	Slikts, skābs dzeramais; ūdeņaina zupa.
varša	Haoss, sajukums.
milns	Resna runga, vāle.
vemes	Vēmekļi.
balva	Baļļa.
kauls	Skeleta atsevišķa sastāvdaļa (cilvēkam un citiem mugurkaulniekiem).
samts	Audums ar ļoti blīvu, smalku, īsu plūksnu labajā pusē.
šolks	Zīds.
viksa	Dzelzszāle, grīšļu suga ("Carex nigra").
mēļas	Nelabas runas.
skābe	Ķīmisks savienojums, kas šķīdumā spēj atdot ūdeņraža jonus.
brīze	Jūru, okeānu, kā arī lielu ezeru piekrastes vējš.
eluls	Jūdaistu civilā kalendāra divpadsmitais mēnesis.
timšs	Tumšs.
ķauce	Spolīte, kuru ar uztītu dziju liek atspolē.
čapts	Lai aprakstītu strauju ķeršanas, grābšanas kustību vai lēcienu.
vecis	Grauzdētas un sasmalcinātas kaņepes, piemēram, sviestmaizei, bet ēd arī ar zirņiem un kartupeļiem.
surme	Tveicīgs laiks pirms lietus.
zurte	Suga, šķirne.
džeks	Vīrietis; puisis.
anāls	Tāds, kas piederīgs tūplim, atrodas tā tuvumā.
kuģis	Siena guba, kas veselā veidā ievesta šķūnī.
ķenga	Tāds, kas ķengā, zākā citus.
sloka	Josla, sleja.
čiepa	Jauna meitene.
stups	Īss, strups.
uzacs	Apmatojuma lokveida josla virs acs dobuma.
miets	Maiņa.
dūjas	Dūnas, pūkas.
viejs	Vējš.
ližas	Slēpes.
šerpa	Nelielas Himalaju kalnu tautas piederīgais; šerpas ir izslavēti alpīnisti, visas ekspedīcijas Himalajos viņus salīgst par pavadoņiem.
dzīne	Skuju u. c. koku gada dzinums.
mokša	Indiešu reliģijā un filozofijā - dvēseles atbrīvošanās no empīriskās eksistences un ciklisko pārdzimšanu (reinkarnāciju) virknes (hinduismā); apskaidrība, pasaules realitātes jeb savas nerealitātes saskatīšana un atbrīvošanās no ciešanām kā vārti uz nirvānu (budismā).
klišs	Kāds, kam kājas uz iekšu ieliektas, līkkājis.
gaile	Sārts (parasti kvēlojošu ogļu) mirdzums, spīdums.
rumba	Vidusamerikāņu cilmes ritmiski spraiga sarīkojumu deja 2/4 vai 4/4 taktsmērā.
oķene	Vecāmāte.
gļeza	Slapdraņķis.
cinne	Alva.
gamba	Violas paveids, ko atskaņotājs turēja starp kājām vai uz ceļiem, skaņa maiga, vāja.
drils	Primātu kārtas pērtiķu apakškārtas mērkaķu dzimtas paviānu ģints suga ("Papio leucophaeus"), satopama Āfrikā.
