dowve	A dove.
cycle	An imaginary circle or orbit in the heavens; one of the celestial spheres.
hexad	An atom whose valence is six, and which can be theoretically combined with, substituted for, or replaced by, six monad atoms or radicals; as, sulphur is a hexad in sulphuric acid. Also used as an adjective.
plaga	A stripe of color.
gonad	One of the masses of generative tissue primitively alike in both sexes, but giving rise to either an ovary or a testis; a generative gland; a germ gland.
guppy	A small freshwater fish of South America and West Indies (Lebistes reticulatus or Poecilia reticulata, originaly called Gerardinus guppyi), often kept in aquariums; also called rainbow fish.
myopy	Myopia.
smock	A woman's under-garment; a shift; a chemise.
croze	A cooper's tool for making the grooves for the heads of casks, etc.; also, the groove itself.
idler	One who idles; one who spends his time in inaction; a lazy person; a sluggard.
corol	A corolla.
joist	A piece of timber laid horizontally, or nearly so, to which the planks of the floor, or the laths or furring strips of a ceiling, are nailed; -- called, according to its position or use, binding joist, bridging joist, ceiling joist, trimming joist, etc. See Illust. of Double-framed floor, under Double, a.
poize	See Poise.
brits	the people of Great Britain.
bison	The American bison buffalo (Bison Americanus), a large, gregarious bovine quadruped with shaggy mane and short black horns, which formerly roamed in herds over most of the temperate portion of North America, but by 1900 was restricted to very limited districts in the region of the Rocky Mountains, and was almost hunted to extinction.
wight	Weight.
sower	One who, or that which, sows.
stade	A landing place or wharf.
gonys	The keel or lower outline of a bird's bill, so far as the mandibular rami are united.
hound	A variety of the domestic dog, usually having large, drooping ears, esp. one which hunts game by scent, as the foxhound, bloodhound, deerhound, but also used for various breeds of fleet hunting dogs, as the greyhound, boarhound, etc.
panax	A genus of perennial herbs of eastern North America and Asia having aromatic tuberous roots: ginseng.
rater	One who rates or scolds.
salve	To heal by applications or medicaments; to cure by remedial treatment; to apply salve to; as, to salve a wound.
skene	See Skean.
vexer	One who vexes or troubles.
value	The property or aggregate properties of a thing by which it is rendered useful or desirable, or the degree of such property or sum of properties; worth; excellence; utility; importance.
creek	A small inlet or bay, narrower and extending further into the land than a cove; a recess in the shore of the sea, or of a river.
kiver	A cover.
lisle	A city of France celebrated for certain manufactures.
rodge	The gadwall.
satan	The grand adversary of man; the Devil, or Prince of darkness; the chief of the fallen angels; the archfiend.
begum	In the East Indies, a princess or lady of high rank.
gager	A measurer. See Gauger.
estre	The inward part of a building; the interior.
dives	The name popularly given to the rich man in our Lord's parable of the <ldquo/Rich Man and Lazarus<rdquo/ (Luke xvi. 19-31). Hence, a name for a rich worldling.
epoch	A fixed point of time, established in history by the occurrence of some grand or remarkable event; a point of time marked by an event of great subsequent influence; as, the epoch of the creation; the birth of Christ was the epoch which gave rise to the Christian era.
ought	See Aught.
terce	See Tierce.
usnea	A genus of lichens, most of the species of which have long, gray, pendulous, and finely branched fronds. Usnea barbata is the common bearded lichen which grows on branches of trees in northern forests.
fever	A diseased state of the system, marked by increased heat, acceleration of the pulse, and a general derangement of the functions, including usually, thirst and loss of appetite.  Many diseases, of which fever is the most prominent symptom, are denominated fevers; as, typhoid fever; yellow fever.
hedge	A thicket of bushes, usually thorn bushes; especially, such a thicket planted as a fence between any two portions of land; and also any sort of shrubbery, as evergreens, planted in a line or as a fence; particularly, such a thicket planted round a field to fence it, or in rows to separate the parts of a garden.
hussy	A case or bag. See Housewife, 2.
large	A musical note, formerly in use, equal to two longs, four breves, or eight semibreves.
lasso	A rope or long thong of leather with a running noose, used for catching horses, cattle, etc.
sprag	A billet of wood; a piece of timber used as a prop.
scraw	A turf.
burst	A sudden breaking forth; a violent rending; an explosion; as, a burst of thunder; a burst of applause; a burst of passion; a burst of inspiration.
calle	A kind of head covering; a caul.
patch	A piece of cloth, or other suitable material, sewed or otherwise fixed upon a garment to repair or strengthen it, esp. upon an old garment to cover a hole.
start	A Treaty between the United States and the Soviet Union which provided for stepwise reductions in the number of nuclear weapons possessed by each country.
sheal	A shell or pod.
scout	A person sent out to gain and bring in tidings; especially, one employed in war to gain information of the movements and condition of an enemy.
diver	One who, or that which, dives.
mummy	A dead body embalmed and dried after the manner of the ancient Egyptians; also, a body preserved, by any means, in a dry state, from the process of putrefaction.
query	A question; an inquiry to be answered or solved.
wavey	The snow goose.
dater	One who dates.
fleen	Obs. pl. of Flea.
noter	One who takes notice.
spica	A kind of bandage passing, by successive turns and crosses, from an extremity to the trunk; -- so called from its resemblance to a spike of a barley.
tokay	A grape of an oval shape and whitish color.
chuck	A piece of the backbone of an animal, from between the neck and the collar bone, with the adjoining parts, cut for cooking; as, a chuck steak; a chuck roast.
giber	One who utters gibes.
hazel	A shrub or small tree of the genus Corylus, as the Corylus avellana, bearing a nut containing a kernel of a mild, farinaceous taste; the filbert.  The American species are Corylus Americana, which produces the common hazelnut, and Corylus rostrata.  See Filbert.
trave	A crossbeam; a lay of joists.
forge	To form by heating and hammering; to beat into any particular shape, as a metal.
gloss	Brightness or luster of a body proceeding from a smooth surface; polish; as, the gloss of silk; cloth is calendered to give it a gloss.
pluff	A puff, as of smoke from a pipe, or of dust from a puffball; a slight explosion, as of a small quantity of gunpowder.
sorex	A genus of small Insectivora, including the common shrews.
taffy	A kind of candy made of molasses or brown sugar boiled down and poured out in shallow pans.
bloom	A large bar of steel formed directly from an ingot by hammering or rolling, being a preliminary shape for further working.
hawse	A hawse hole.
jabot	Originally, a kind of ruffle worn by men on the bosom of the shirt.
waney	A sharp or uneven edge on a board that is cut from a log not perfectly squared, or that is made in the process of squaring.  See Wany, a.
synod	An ecclesiastic council or meeting to consult on church matters.
snort	The act of snorting; the sound produced in snorting.
trink	A kind of fishing net.
debit	A debt; an entry on the debtor (Dr.) side of an account; -- mostly used adjectively; as, the debit side of an account.
fancy	The faculty by which the mind forms an image or a representation of anything perceived before; the power of combining and modifying such objects into new pictures or images; the power of readily and happily creating and recalling such objects for the purpose of amusement, wit, or embellishment; imagination.
blind	Something to hinder sight or keep out light; a screen; a cover; esp. a hinged screen or shutter for a window; a blinder for a horse.
daira	Any of several valuable estates of the Egyptian khedive or his family. The most important are the Da"i*ra Sa"ni*eh (s<aum/"n<icr/*<ecr/), or Da"i*ra Sa"ni*yeh, and the Da"i*ra Khas"sa, administered by the khedive's European bondholders, and known collectively as the Daira, or the Daira estates.
mocha	A seaport town of Yemen, on the Red Sea, also spelled Mukha.
mitre	See Miter.
amice	A hood, or cape with a hood, made of lined with gray fur, formerly worn by the clergy; -- written also amess, amyss, and almuce.
